ID;НАЗВАНИЕ ГРУППЫ;ССЫЛКА;ПОДПИСЧИКОВ
464687;Ваш психолог - Анастасия Калашникова;https://vk.com/akpsyh;2545
1136862;ОУСЦ "Планерная";https://vk.com/planernaya;1614
8319460;--------------------черново---------------------;https://vk.com/club8319460;207
17126631;КЛУБ КАБАРЕ  | CABARET SPB | Санкт-Петербург;https://vk.com/cabaret_club_spb2;17978
20253529;Кабинет диетолога Сергеева;https://vk.com/dokdiet;727
30266327;ИНЖЭКОН, ВШЭМ, ММ, гр.5511 R.I.P.;https://vk.com/hsem5511;25
34602006;«ВАШ ДАНТИСТ» Стоматология Гатчина;https://vk.com/gatchina.vash_dantist;2152
35232566;Ева Стриж;https://vk.com/club35232566;43
40522544;Анонимные Пищевые Зависимые (АПЗ);https://vk.com/a_p_z;1960
42867005;INFOSTART.RU;https://vk.com/infostartru;5300
51442302;iPiter - магазин техники Apple;https://vk.com/ipiter_ru;39382
53605513;Андрей Курпатов;https://vk.com/av.kurpatov;176721
53609198;T.L.H. | официальное сообщество;https://vk.com/t_l_h;6
59135109;Визажист-стилист Полина Глазурина Make-up artist;https://vk.com/makeupartist2;512
63209602;Пирамида-Express | Гатчина доставка пиццы, суши!;https://vk.com/dostavkapiramida;10238
65853336;Понасенков Евгений Николаевич;https://vk.com/evgenyponasenkov;46885
72326582;Кикеринский дом-интернат для пожилых людей;https://vk.com/dominternatkikerino;383
72495085;/dev/null;https://vk.com/tnull;328903
75989322;Intelinvest - Учет и контроль ваших инвестиций;https://vk.com/intelinvest;2058
77745866;Фотосалон "SLS Photo";https://vk.com/sls_photo;11057
77949433;DJ 9th Wave | Trance | OFFICIAL COMMUNITY;https://vk.com/9thwave;463
93492854;М-студия Красоты;https://vk.com/m_studiya;4639
95570360;Подпольные бои без правил Спб и Ленинградская об;https://vk.com/club95570360;1500
108276452;Подслушано: Тайны ведьм.;https://vk.com/witchsecrets;35064
120007903;СК- "Легион" - спасение животных от жестокости;https://vk.com/animal_rights_spb;10038
120779732;ЖК Времена Года | Московский проспект д. 73 к. 5;https://vk.com/vremena_goda_spb;85
126667529;вТоне - музыкальные инструменты в Гатчине;https://vk.com/vtone_gatchina;649
127481886;ЖК "Времена Года";https://vk.com/vremena_goda;1503
133066804;Машинное обучение доступно;https://vk.com/mlaccessible;3288
142954342;О жизни | Блог психолога | Татьяна Болотова;https://vk.com/club142954342;35
147192467;TRAWA | Полезные десерты в Сочи;https://vk.com/trawa.sochi;548
147286578;Добрые мемы : );https://vk.com/dobriememes;1060752
153691639;Zuber;https://vk.com/ecozuber;2
156347433;Welcome to Vienna;https://vk.com/welcome2vienna;2
163053616;Welcome2Vienna;https://vk.com/wlcm2vnn;2
165870704;Центр поддержки и развития бокса "УДАРНИК";https://vk.com/sk_udarnik;1648
169835192;БРИТИШ ЮМОР;https://vk.com/pretty_british;374135
170055354;Elven Cakes | Торты на заказ СПб;https://vk.com/elven.cakes;95
173957821;Администрация Пудостьского СП;https://vk.com/pydost_adm;1034
182037979;Tanner Goods;https://vk.com/tannergoods;20
186413636;20/11 (ср) СПБ | Обними Кита | The Place;https://vk.com/ok20112019;35
190199498;C++ ITMO 2019-2020;https://vk.com/cppitmo;2
190255729;Буддийский юмор;https://vk.com/buddista;63659
190672959;Private Cabinet;https://vk.com/private_cabinet;454
190826155;C/C++, Linux, Qt (ИТМО ЦДПО);https://vk.com/cpp_itmo;11
190826304;Предзащита, часть II;https://vk.com/club190826304;1
190826316;Защита дипломных работ;https://vk.com/club190826316;1
205563876;Debaser;https://vk.com/debaserbar;3280
209030118;Фитнес клуб "GYM WAY";https://vk.com/gym_way;818
210382220;ЛАДЫ ремонт гитар;https://vk.com/ladladlad_78;58
212358397;machine learrrning;https://vk.com/machine_learrrning;206
215928805;ЭНЕРГЕТИК;https://vk.com/energetikrock;53
216583804;Цветомузыкальная Лия-терапия жизни;https://vk.com/leahtherapy;128
